data,PETR4
2015-01-02,7.9297
2015-01-05,7.2943
2015-01-06,7.0571
2015-01-07,7.3451
2015-01-08,7.7772
2015-01-09,7.9636
2015-01-12,7.5484
2015-01-13,7.6247
2015-01-14,7.4044
2015-01-15,7.9127
2015-01-16,7.9974
2015-01-19,7.7856
2015-01-20,7.8958
2015-01-21,8.3194
2015-01-22,8.6837
2015-01-23,8.4719
2015-01-26,8.3956
2015-01-27,8.6159
2015-01-28,7.6501
2015-01-29,7.4129
2015-01-30,6.93
2015-02-02,7.3366
2015-02-03,8.4719
2015-02-04,8.4888
2015-02-05,8.3024
2015-02-06,7.7263
2015-02-09,7.8619
2015-02-10,7.5569
2015-02-11,7.6501
2015-02-12,8.0483
2015-02-13,8.4634
2015-02-18,8.5735
2015-02-19,8.2601
2015-02-20,8.1923
2015-02-23,8.0398
2015-02-24,8.3533
2015-02-25,7.9466
2015-02-26,7.8534
2015-02-27,8.1076
2015-03-02,7.9636
2015-03-03,8.133
2015-03-04,7.8026
2015-03-05,7.8619
2015-03-06,7.828
2015-03-09,7.5484
2015-03-10,7.2434
2015-03-11,7.4468
2015-03-12,7.2011
2015-03-13,7.0317
2015-03-16,7.1672
2015-03-17,7.5315
2015-03-18,7.8534
2015-03-19,7.54
2015-03-20,7.9212
2015-03-23,7.9212
2015-03-24,7.9551
2015-03-25,8.3363
2015-03-26,7.9212
2015-03-27,7.9466
2015-03-30,8.2347
2015-03-31,8.2431
2015-04-01,8.6498
2015-04-02,9.0818
2015-04-06,9.0564
2015-04-07,9.2259
2015-04-08,8.9802
2015-04-09,9.7935
2015-04-10,10.0138
2015-04-13,10.395
2015-04-14,10.5814
2015-04-15,11.293
2015-04-16,10.9541
2015-04-17,11.0219
2015-04-20,11.0897
2015-04-22,11.1151
2015-04-23,10.9457
2015-04-24,11.2337
2015-04-27,10.6576
2015-04-28,10.8271
2015-04-29,10.8609
2015-04-30,11.0558
2015-05-04,11.6912
2015-05-05,12.1825
2015-05-06,11.5556
2015-05-07,11.6065
2015-05-08,11.454
2015-05-11,11.6234
2015-05-12,11.6827
2015-05-13,11.8352
2015-05-14,11.7674
2015-05-15,11.9115
2015-05-18,11.6742
2015-05-19,10.9372
2015-05-20,10.9202
2015-05-21,11.3947
2015-05-22,11.0812
2015-05-25,10.844
2015-05-26,10.4966
2015-05-27,10.6322
2015-05-28,10.7339
2015-05-29,10.4458
2015-06-01,10.4797
2015-06-02,10.8779
2015-06-03,10.8694
2015-06-05,10.6407
2015-06-08,10.6491
2015-06-09,10.988
2015-06-10,11.0558
2015-06-11,11.0558
2015-06-12,11.0304
2015-06-15,11.005
2015-06-16,11.3099
2015-06-17,11.1744
2015-06-18,11.3862
2015-06-19,11.1575
2015-06-22,11.1829
2015-06-23,10.988
2015-06-24,11.1829
2015-06-25,10.6746
2015-06-26,11.1913
2015-06-29,10.8016
2015-06-30,10.7677
2015-07-01,10.3187
2015-07-02,10.4204
2015-07-03,9.9375
2015-07-06,9.7257
2015-07-07,9.9799
2015-07-08,9.785
2015-07-10,9.9883
2015-07-13,10.0138
2015-07-14,10.1662
2015-07-15,9.9968
2015-07-16,10.0985
2015-07-17,9.6579
2015-07-20,9.1411
2015-07-21,9.1242
2015-07-22,8.7769
2015-07-23,8.6159
2015-07-24,8.5058
2015-07-27,8.0567
2015-07-28,8.4465
2015-07-29,9.0818
2015-07-30,8.87
2015-07-31,8.8955
2015-08-03,8.4888
2015-08-04,8.6244
2015-08-05,8.4803
2015-08-06,8.743
2015-08-07,8.2092
2015-08-10,8.4295
2015-08-11,8.3278
2015-08-12,8.3702
2015-08-13,8.0567
2015-08-14,7.8788
2015-08-17,7.7263
2015-08-18,7.6247
2015-08-19,7.4468
2015-08-20,7.3959
2015-08-21,7.0317
2015-08-24,6.5742
2015-08-25,6.6928
2015-08-26,6.8707
2015-08-27,7.5315
2015-08-28,7.6247
2015-08-31,7.7856
2015-09-01,7.2773
2015-09-02,7.4722
2015-09-03,7.4214
2015-09-04,7.2096
2015-09-08,7.3197
2015-09-09,7.1079
2015-09-10,6.7521
2015-09-11,6.4895
2015-09-14,6.5403
2015-09-15,6.481
2015-09-16,6.8961
2015-09-17,6.6589
2015-09-18,6.4386
2015-09-21,6.1845
2015-09-22,5.9049
2015-09-23,5.7778
2015-09-24,5.8964
2015-09-25,5.7778
2015-09-28,5.4559
2015-09-29,5.583
2015-09-30,6.1336
2015-10-01,5.9473
2015-10-02,6.5826
2015-10-05,6.625
2015-10-06,6.9385
2015-10-07,7.1757
2015-10-08,7.4129
2015-10-09,7.4552
2015-10-13,6.8876
2015-10-14,6.7436
2015-10-15,6.7775
2015-10-16,6.7351
2015-10-19,6.7351
2015-10-20,6.8199
2015-10-21,6.5657
2015-10-22,6.7944
2015-10-23,6.769
2015-10-26,6.6504
2015-10-27,6.4386
2015-10-28,6.5233
2015-10-29,6.4471
2015-10-30,6.5318
2015-11-03,7.1841
2015-11-04,6.8453
2015-11-05,6.8707
2015-11-06,6.625
2015-11-09,6.4725
2015-11-10,6.4471
2015-11-11,6.5403
2015-11-12,6.4217
2015-11-13,6.159
2015-11-16,6.5233
