Período;TOTAL Geral
01/01/1979;86.374
01/02/1979;74.507
01/03/1979;63.835
01/04/1979;84.263
01/05/1979;89.071
01/06/1979;90.288
01/07/1979;72.680
01/08/1979;94.122
01/09/1979;68.965
01/10/1979;101.699
01/11/1979;97.162
01/12/1979;91.959
01/01/1980;89.854
01/02/1980;91.074
01/03/1980;89.807
01/04/1980;32.628
01/05/1980;77.270
01/06/1980;80.162
01/07/1980;88.363
01/08/1980;95.936
01/09/1980;99.038
01/10/1980;85.945
01/11/1980;75.607
01/12/1980;74.577
01/01/1981;72.690
01/02/1981;48.909
01/03/1981;40.543
01/04/1981;48.518
01/05/1981;41.524
01/06/1981;46.328
01/07/1981;42.030
01/08/1981;44.379
01/09/1981;47.029
01/10/1981;48.623
01/11/1981;47.136
01/12/1981;53.016
01/01/1982;48.535
01/02/1982;48.070
01/03/1982;57.712
01/04/1982;52.331
01/05/1982;50.823
01/06/1982;56.314
01/07/1982;56.458
01/08/1982;59.967
01/09/1982;56.794
01/10/1982;67.106
01/11/1982;63.023
01/12/1982;74.161
01/01/1983;60.793
01/02/1983;58.350
01/03/1983;67.573
01/04/1983;66.978
01/05/1983;68.743
01/06/1983;53.244
01/07/1983;49.924
01/08/1983;65.680
01/09/1983;63.067
01/10/1983;59.662
01/11/1983;53.136
01/12/1983;60.582
01/01/1984;45.838
01/02/1984;57.538
01/03/1984;53.217
01/04/1984;55.295
01/05/1984;59.219
01/06/1984;58.868
01/07/1984;49.945
01/08/1984;59.948
01/09/1984;57.421
01/10/1984;61.488
01/11/1984;65.305
01/12/1984;53.000
01/01/1985;61.448
01/02/1985;58.942
01/03/1985;68.245
01/04/1985;24.675
01/05/1985;37.224
01/06/1985;51.227
01/07/1985;74.367
01/08/1985;76.429
01/09/1985;76.906
01/10/1985;91.866
01/11/1985;81.817
01/12/1985;60.034
01/01/1986;70.976
01/02/1986;85.408
01/03/1986;92.871
01/04/1986;96.902
01/05/1986;101.219
01/06/1986;90.997
01/07/1986;89.249
01/08/1986;74.958
01/09/1986;102.840
01/10/1986;96.489
01/11/1986;54.774
01/12/1986;76.205
01/01/1987;57.802
01/02/1987;67.230
01/03/1987;51.584
01/04/1987;72.802
01/05/1987;62.960
01/06/1987;54.065
01/07/1987;62.007
01/08/1987;59.235
01/09/1987;56.187
01/10/1987;73.985
01/11/1987;67.671
01/12/1987;70.170
01/01/1988;62.509
01/02/1988;64.598
01/03/1988;79.738
01/04/1988;65.153
01/05/1988;70.494
01/06/1988;76.834
01/07/1988;80.156
01/08/1988;85.665
01/09/1988;75.284
01/10/1988;81.369
01/11/1988;79.751
01/12/1988;84.836
01/01/1989;72.953
01/02/1989;68.502
01/03/1989;71.270
01/04/1989;57.033
01/05/1989;65.784
01/06/1989;89.780
01/07/1989;81.398
01/08/1989;93.282
01/09/1989;86.177
01/10/1989;78.775
01/11/1989;65.353
01/12/1989;84.935
01/01/1990;81.536
01/02/1990;68.827
01/03/1990;41.607
01/04/1990;42.281
01/05/1990;69.981
01/06/1990;49.599
01/07/1990;57.557
01/08/1990;97.617
01/09/1990;87.706
01/10/1990;88.873
01/11/1990;78.714
01/12/1990;71.579
01/01/1991;67.380
01/02/1991;66.085
01/03/1991;76.040
01/04/1991;49.396
01/05/1991;66.361
01/06/1991;79.562
01/07/1991;95.452
01/08/1991;88.279
01/09/1991;82.637
01/10/1991;88.445
01/11/1991;77.739
01/12/1991;60.577
01/01/1992;60.421
01/02/1992;50.072
01/03/1992;44.112
01/04/1992;79.538
01/05/1992;65.861
01/06/1992;71.910
01/07/1992;76.780
01/08/1992;72.525
01/09/1992;74.264
01/10/1992;76.663
01/11/1992;79.807
01/12/1992;71.859
01/01/1993;65.108
01/02/1993;71.052
01/03/1993;96.397
01/04/1993;88.746
01/05/1993;96.253
01/06/1993;97.620
01/07/1993;100.317
01/08/1993;116.008
01/09/1993;108.317
01/10/1993;104.493
01/11/1993;113.168
01/12/1993;114.117
01/01/1994;103.072
01/02/1994;98.828
01/03/1994;124.600
01/04/1994;103.889
01/05/1994;128.640
01/06/1994;130.684
01/07/1994;119.881
01/08/1994;170.944
01/09/1994;124.167
01/10/1994;141.910
01/11/1994;152.952
01/12/1994;154.062
01/01/1995;123.480
01/02/1995;145.769
01/03/1995;196.136
01/04/1995;150.648
01/05/1995;152.131
01/06/1995;154.763
01/07/1995;149.647
01/08/1995;169.285
01/09/1995;152.400
01/10/1995;163.914
01/11/1995;162.340
01/12/1995;153.773
01/01/1996;128.537
01/02/1996;148.822
01/03/1996;155.895
01/04/1996;149.721
01/05/1996;171.783
01/06/1996;149.247
01/07/1996;178.973
01/08/1996;172.863
01/09/1996;188.102
01/10/1996;189.778
01/11/1996;185.176
01/12/1996;179.425
01/01/1997;173.630
01/02/1997;161.008
01/03/1997;187.285
01/04/1997;207.121
01/05/1997;197.115
01/06/1997;202.242
01/07/1997;213.107
01/08/1997;207.893
01/09/1997;218.273
01/10/1997;226.338
01/11/1997;173.546
01/12/1997;152.165
01/01/1998;156.175
01/02/1998;152.179
